Timestamp,Pillar,ESD Focus Track [Aviation],ESD Focus Track [Business Analytics and Operations Research],ESD Focus Track [Financial Services],ESD Focus Track [Supply Chain & Logistics],ESD Focus Track [Urban Infrastructure Systems],ESD Focus Track [No focus track / Customized focus track],ISTD Focus Track [AI],ISTD Focus Track [Data Analytics],ISTD Focus Track [Financial Technology],ISTD Focus Track [Security],ISTD Focus Track [Others],Custom focus tracks,ESD Elective Modules taken or taking  [40.240 Investment Science],ESD Elective Modules taken or taking  [40.242 Derivative Pricing and Risk Management],ESD Elective Modules taken or taking  [40.260 Supply Chain Management],ESD Elective Modules taken or taking  [40.302 Advanced Optim/ 40.305 Advanced Stochastic],ESD Elective Modules taken or taking  [40.316 Game Theory],ESD Elective Modules taken or taking  [40.317 Financial Systems Design],ESD Elective Modules taken or taking  [40.318 Supply Chain Digitalisation and Design],ESD Elective Modules taken or taking  [40.319 Statistical and Machine Learning],ESD Elective Modules taken or taking  [40.320 Airport Systems Planning and Design],ESD Elective Modules taken or taking  [40.321 Airport Systems Modelling and Simulation],ESD Elective Modules taken or taking  [40.323 Equity Valuation],ESD Elective Modules taken or taking  [40.324 Fundamentals of Investing],ESD TAE Modules taken or taking  [01.102 Energy Systems and Management],ESD TAE Modules taken or taking  [01.104 Networked Life],ESD TAE Modules taken or taking  [01.107 Urban Transportation],40.240 Investment Science,40.242 Derivative Pricing and Risk Management,40.260 Supply Chain Management,40.302 Advanced Optim/ 40.305 Advanced Stochastic,40.316 Game Theory,40.317 Financial Systems Design,40.318 Supply Chain Digitalisation and Design,40.319 Statistical and Machine Learning,40.320 Airport Systems Planning and Design,40.321 Airport Systems Modelling and Simulation,40.323 Equity Valuation,40.324 Fundamentals of Investing,ISTD Elective Modules taken or taking  [50.006 User Interface Design and Implementation],ISTD Elective Modules taken or taking  [50.007 Machine Learning],ISTD Elective Modules taken or taking  [50.017 Graphics and Visualisation],ISTD Elective Modules taken or taking  [50.020 Network Security],ISTD Elective Modules taken or taking  [50.021 Artificial Intelligence],ISTD Elective Modules taken or taking  [50.033 Foundations of Game Design and Development],ISTD Elective Modules taken or taking  [ 50.035 Computer Vision],ISTD Elective Modules taken or taking  [50.037 Blockchain Technology],ISTD Elective Modules taken or taking  [50.038 Computational Data Science],ISTD Elective Modules taken or taking  [50.039 Theory and Practice of Deep Learning],ISTD Elective Modules taken or taking  [50.040 Natural Language Processing],ISTD Elective Modules taken or taking  [50.041 Distributed Systems and Computing],ISTD Elective Modules taken or taking  [50.042 Foundations of Cybersecurity],ISTD Elective Modules taken or taking  [50.043 Database Systems / Database and Big Data Systems (for class 2021)],ISTD Elective Modules taken or taking  [50.044 System Security],ISTD Elective Modules taken or taking  [50.045 Information Retrieval],ISTD Elective Modules taken or taking  [50.046 Cloud Computing and Internet of Things],ISTD TAE Modules taken or taking  [01.116 AI for Healthcare (Term 7)],50.006 User Interface Design and Implementation,50.007 Machine Learning,50.017 Graphics and Visualisation,50.020 Network Security,50.021 Artificial Intelligence,50.033 Foundations of Game Design and Development, 50.035 Computer Vision,50.037 Blockchain Technology,50.038 Computational Data Science,50.039 Theory and Practice of Deep Learning,50.040 Natural Language Processing,50.041 Distributed Systems and Computing,50.042 Foundations of Cybersecurity,50.043 Database Systems / Database and Big Data Systems (for class 2021),50.044 System Security,50.045 Information Retrieval,50.046 Cloud Computing and Internet of Things,50.048 Computational Fabrication,01.116 AI for Healthcare (Term 7) (TAE),01.102 Energy Systems and Management (TAE ),01.104 Networked Life (TAE ),01.107 Urban Transportation (TAE ),Other ESD Modules if not listed,Other ESD Modules if not listed.1,Other ISTD Modules if not listed,Other ISTD Modules if not listed.1,What are your academic/career interest?,What are your skills of interest?
2021-06-09 16:22:10.323,ESD,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,Python,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rbm,,Intro to algo,,,,Data analytics,Coding
2021-06-09 14:11:01.465,ESD,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,gurobi,nash eqbm,,,regression,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,dfs,,,,,,,,,,,implementation,,,,,,,,,,,software engineering,python
2021-06-09 15:15:29.592,ISTD,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,"Did not learn anything useful, but learnt that ML is not for me",,"Learnt about securing network stack, and actually learnt a lot about how networks work at large",,,,Learning about cryptocurrency and smart contracts,,,,Learnt about the pains of ensuring consistency and fault tolerance.,Learn about crypto,Learn about devops,Learn about reverse engineering so far,,,,,,,,,,,,Cybersec,Programming
2021-06-09 13:22:25.526,ESD,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,"python, pytorch",,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,python,,,,,,,,,,,Math,data visualization
2021-06-09 21:23:28.750,ISTD,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,"Wireframing, UI Evaluation, Prototyping, User Analysis","Perceptron, CNN",,,,,"Edge Detection, Filtering","Bitcoin, Blockchain, Distributed Systems, Encryption","Data Visualization, CNN",,,,,Relational Algebra,,,,,,,,,,,,,Technology,web dev
2021-06-17 15:11:52.948,ESD,,,1.0,,,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,CAPM,Arbitrage,,,,,,HMM,,,Financial Modeling,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,AI Thinking,,,,,,NLP,,,,,,,,,,,,,,,,"data science, project management, finance","coding, jira, bloomberg"
2021-06-09 13:16:44.276,ESD,,1.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,1.0,1.0,,How to perform valuation on shares using just their balance sheet however I feel this skill is easily forgetable as it involves a few math equations that most wouldnt remember unless they are in this field,,,,"We can model most day to day interactions such as business operatios or even political campaigns as games and from those games we can decide the nash equilibrium outcome. However there are lots of assumptions involve to hit NE, in particular all the Moblab games are rigged and winnable by luck. Not every player is equally smart and not everyone wants the social optimum outcome, they could be selfish players and then screwed up their team",,,"Alot of theories (which i already forgot), I love the 2nd half of the class better because of Youtube! JK, 2nd half was much digestable to me due to the wide real world application it has. My favourite topic would be multi-armed bandit because I get exposed to the concept of reinforcement learning which I am using now for my capstone. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,So far learn a lot of math. Too early to tell,"One of my favourite modules in ESD, and I think Costas is a very nice chap. I love how NL breaks down real world problems into a simple to understand theory phase and then a more advanced ""proving"" mathy kind of way. ",,,,,,Bussiness Metrics,modeling
2021-06-14 21:06:44.207,ESD,,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,"learnt the basics of the stock market and stocks, how to analyze them and write stock pitch","learnt about derivatives, how to use it as a hedge against stocks to balance risk",,,"learn to consider various perspectives, how people would decide given rationale chocies",learn how to design simple financial system using python package,,"learnt about machine learning, deep learning and how to implement them using python packages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,learn how societies' decisions are intertwined and affect each other. how to balance out societal benefits with individual benefits,,,,,,"Finance, Software Engineering","Coding, Web Dev, Software Dev"
2021-06-07 12:19:48.220,ISTD,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,,,,,"Python, Option Pricing, Hedging, Monte Carlo Simulations, Black-Scholes, Excel",,,,"Python, ZeroMQ, Trading Game, Multithreading",,,,,,"Financial Statements, Accounting, Stock Pitch, Arbitrage Pricing, Bond Pricing",,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,Python,,,,"Unity, C#","Python, OpenCV, Keras, Tensorflow",,,,,,,"MySQL, Mongodb, Flask, ReactJS, Hadoop, Spark",,,,,,,,,,,,,Transportation,Modeling
2021-06-07 09:37:27.103,ISTD,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,"design uiux, using figma prototyping, working with annoying teammates, ui design heuristics",machine learning algorithms and implementation using python,how to model and render graphical models using opengl and c++. learned the math behind the shapes and models and how to performing mapping between the different dimensions (eg 2d-->3d),,ai algorithms,"unity game development, history of games and game design elements",,,using libraries such as keras,,,"distributed systems stuff such as concurrency, fault tolerance",,"intro to using aws cloud services, sql, no sql",,,,,,,,,,,,,Data Science,data visualization
