,querySample,expectedElectivesInOrder,expectedElectivesInOrderSumWordCount,queryType
0,"network, term, model, technology, probability","['50.007 Machine Learning', '50.037 Blockchain Technology', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '50.039 Theory and Practice of Deep Learning', '50.021 Artificial Intelligence', ' 50.035 Computer Vision', '40.324 Fundamentals of Investing', '40.316 Game Theory', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '40.317 Financial Systems Design']","[3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",1
1,"term, different, skill, mongodb, long","['40.302 Advanced Optim/ 40.305 Advanced Stochastic', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '40.316 Game Theory', '50.046 Cloud Computing and Internet of Things', '50.007 Machine Learning', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.317 Financial Systems Design', '40.318 Supply Chain Digitalisation and Design', '40.319 Statistical and Machine Learning']","[3.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
2,"logistics, analysis, operation, basic, r","['40.316 Game Theory', '40.319 Statistical and Machine Learning', '50.021 Artificial Intelligence', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.318 Supply Chain Digitalisation and Design', '40.260 Supply Chain Management', '50.007 Machine Learning', '50.038 Computational Data Science', '50.017 Graphics and Visualisation', '50.045 Information Retrieval']","[9.0, 6.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 1.0, 1.0]",1
3,"esd, network, evaluate, program, r","['40.316 Game Theory', '40.319 Statistical and Machine Learning', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '50.021 Artificial Intelligence', '50.007 Machine Learning', '50.038 Computational Data Science', '50.037 Blockchain Technology', '40.323 Equity Valuation', '50.017 Graphics and Visualisation', '40.242 Derivative Pricing and Risk Management']","[8.0, 5.0, 3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0]",1
4,"operation, basic, evaluation, price, evaluate","['40.316 Game Theory', '40.319 Statistical and Machine Learning', '50.021 Artificial Intelligence', '50.038 Computational Data Science', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '50.007 Machine Learning', '50.017 Graphics and Visualisation', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.318 Supply Chain Digitalisation and Design']","[7.0, 5.0, 3.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0]",1
5,"infrastructure, metric, pytorch, model, client","['50.039 Theory and Practice of Deep Learning', '40.319 Statistical and Machine Learning', '40.324 Fundamentals of Investing', '40.316 Game Theory', '40.317 Financial Systems Design', '40.320 Airport Systems Planning and Design', '40.321 Airport Systems Modelling and Simulation', '50.021 Artificial Intelligence', '50.045 Information Retrieval', '50.007 Machine Learning']","[2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1
6,"approach, logistics, shag, infrastructure, equity","['40.316 Game Theory', '40.323 Equity Valuation', '40.260 Supply Chain Management', '40.318 Supply Chain Digitalisation and Design', '40.319 Statistical and Machine Learning', '40.320 Airport Systems Planning and Design', '40.321 Airport Systems Modelling and Simulation', '50.046 Cloud Computing and Internet of Things', '50.007 Machine Learning', '40.242 Derivative Pricing and Risk Management']","[4.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",1
7,"data, sql, different, analytics, model","['50.021 Artificial Intelligence', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '50.007 Machine Learning', '40.316 Game Theory', '50.038 Computational Data Science', '50.045 Information Retrieval', '50.039 Theory and Practice of Deep Learning', '40.319 Statistical and Machine Learning', ' 50.035 Computer Vision', '50.046 Cloud Computing and Internet of Things']","[2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0]",1
8,"computational, best, server, certain, ec","['40.316 Game Theory', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '40.317 Financial Systems Design', '50.038 Computational Data Science', '50.046 Cloud Computing and Internet of Things', '50.006 User Interface Design and Implementation', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.318 Supply Chain Digitalisation and Design']","[2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
9,"sklearn, metric, demand, schedule, fundamental","['40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.317 Financial Systems Design', '50.038 Computational Data Science', '40.324 Fundamentals of Investing', '50.046 Cloud Computing and Internet of Things', '50.007 Machine Learning', '40.242 Derivative Pricing and Risk Management', '40.316 Game Theory', '40.318 Supply Chain Digitalisation and Design']","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
