########################################################################################################################################################################################################
Calculating NDCCG for Cosine Similarity (without query expansion, only with course information data)
query: network, term, model, technology, probability                                                 NDCG@10 0.40563
query: term, different, skill, mongodb, long                                                         NDCG@10 0.31546
query: logistics, analysis, operation, basic, r                                                      NDCG@10 0.83676
query: esd, network, evaluate, program, r                                                            NDCG@10 0.39238
query: operation, basic, evaluation, price, evaluate                                                 NDCG@10 0.36065
query: infrastructure, metric, pytorch, model, client                                                NDCG@10 0.73776
query: approach, logistics, shag, infrastructure, equity                                             NDCG@10 0.82853
query: data, sql, different, analytics, model                                                        NDCG@10 0.94621
query: computational, best, server, certain, ec                                                      NDCG@10 0.33744
query: sklearn, metric, demand, schedule, fundamental                                                NDCG@10 0.78451
query: digitalisation, skill, long, technology, aviation                                             NDCG@10 0.56595
query: r, hidden, artificial, schedule, simulate                                                     NDCG@10 0.89274
query: optimisation, decision, risk, aws, jupyter                                                    NDCG@10 0.89381
query: decentralizedapp, equity, math, ethereum, technology                                          NDCG@10 0.82038
query: financial, value, metric, optimize, analysis                                                  NDCG@10 0.72978
query: risk, certain, computational, approach, c                                                     NDCG@10 0.8527
query: markov, supply, hidden, computational, payoff                                                 NDCG@10 0.82593
query: finance, value, long, average, business                                                       NDCG@10 0.57218
query: financial, spark, science, focus, search                                                      NDCG@10 0.5556
query: supply, notebook, fundamental, know, basic                                                    NDCG@10 0.81872
query: r, linear, ethereum, c, machine                                                               NDCG@10 1.0
query: science, future, problem, demand, pytorch                                                     NDCG@10 0.80527
query: r, ec, kera, opponent, model                                                                  NDCG@10 0.87602
query: markov, descent, algebra, math, research                                                      NDCG@10 0.97762
query: clojurescript, ai, analysis, background, science                                              NDCG@10 0.84642
query: optimisation, opencv, risk, chain, urban                                                      NDCG@10 0.95568
query: maing, descent, science, clojurescript, knowledge                                             NDCG@10 0.8841
query: schedule, gradient, airport, analysis, system                                                 NDCG@10 0.77461
query: logistics, business, strategy, analytics, math                                                NDCG@10 0.88691
query: program, future, kera, ec, concept                                                            NDCG@10 0.71152
average Querying Time: 0.6879093488057454
Average NDCG@10 for model 1: 0.73971

########################################################################################################################################################################################################
Calculating NDCCG for Model 2 Cosine Similarity (with query expansion, only with course information data)
query: network, term, model, technology, probability                                                 NDCG@10 0.40563
query: term, different, skill, mongodb, long                                                         NDCG@10 0.31546
query: logistics, analysis, operation, basic, r                                                      NDCG@10 0.83676
query: esd, network, evaluate, program, r                                                            NDCG@10 0.39238
query: operation, basic, evaluation, price, evaluate                                                 NDCG@10 0.36065
query: infrastructure, metric, pytorch, model, client                                                NDCG@10 0.73776
query: approach, logistics, shag, infrastructure, equity                                             NDCG@10 0.82853
query: data, sql, different, analytics, model                                                        NDCG@10 0.94621
query: computational, best, server, certain, ec                                                      NDCG@10 0.33744
query: sklearn, metric, demand, schedule, fundamental                                                NDCG@10 0.78451
query: digitalisation, skill, long, technology, aviation                                             NDCG@10 0.56595
query: r, hidden, artificial, schedule, simulate                                                     NDCG@10 0.89274
query: optimisation, decision, risk, aws, jupyter                                                    NDCG@10 0.89381
query: decentralizedapp, equity, math, ethereum, technology                                          NDCG@10 0.82038
query: financial, value, metric, optimize, analysis                                                  NDCG@10 0.72978
query: risk, certain, computational, approach, c                                                     NDCG@10 0.8527
query: markov, supply, hidden, computational, payoff                                                 NDCG@10 0.82593
query: finance, value, long, average, business                                                       NDCG@10 0.57218
query: financial, spark, science, focus, search                                                      NDCG@10 0.5556
query: supply, notebook, fundamental, know, basic                                                    NDCG@10 0.81872
query: r, linear, ethereum, c, machine                                                               NDCG@10 1.0
query: science, future, problem, demand, pytorch                                                     NDCG@10 0.80527
query: r, ec, kera, opponent, model                                                                  NDCG@10 0.87602
query: markov, descent, algebra, math, research                                                      NDCG@10 0.97762
query: clojurescript, ai, analysis, background, science                                              NDCG@10 0.84642
query: optimisation, opencv, risk, chain, urban                                                      NDCG@10 0.95568
query: maing, descent, science, clojurescript, knowledge                                             NDCG@10 0.8841
query: schedule, gradient, airport, analysis, system                                                 NDCG@10 0.77461
query: logistics, business, strategy, analytics, math                                                NDCG@10 0.88691
query: program, future, kera, ec, concept                                                            NDCG@10 0.71152
average Querying Time: 0.8751342137654622
Average NDCG@10 for model 2: 0.73971

########################################################################################################################################################################################################
Calculating NDCCG for model 3 Cosine Similarity (with query expansion, with course information data and 50% of survey data)
query: network, term, model, technology, probability                                                 NDCG@10 0.41378
query: term, different, skill, mongodb, long                                                         NDCG@10 0.53811
query: logistics, analysis, operation, basic, r                                                      NDCG@10 0.93147
query: esd, network, evaluate, program, r                                                            NDCG@10 0.57294
query: operation, basic, evaluation, price, evaluate                                                 NDCG@10 0.51236
query: infrastructure, metric, pytorch, model, client                                                NDCG@10 0.33333
